Abandonner, lâcher, laisser tomber, renoncer, délaisser, déserter, quitter, se désister
Abasourdir, sidérer, stupéfier, ébahir, ahurir, estomaquer, étonner, méduser
Abîmer, endommager, détériorer, dégrader, altérer, délabrer, détruire, casser
Accepter, agréer, admettre, consentir, approuver, autoriser, confirmer, reconnaître
Accompagner, escorter, guider, conduire, piloter, chaperonner, assister, seconder
Accorder, attribuer, donner, octroyer, allouer, concéder, consentir, garantir
Accuser, incriminer, blâmer, reprocher, dénoncer, condamner, inculper, imputer
Acheter, acquérir, emporter, se procurer, prendre, s'approprier, obtenir, dénicher
Adorer, vénérer, révérer, idolâtrer, estimer, admirer, chérir, aimer
Aider, assister, secourir, soutenir, épauler, appuyer, encourager, coopérer
Aimanter, attirer, séduire, fasciner, charmer, captiver, ensorceler, envoûter
Ajouter, augmenter, amplifier, agrandir, renforcer, intensifier, développer, élargir
Aller, partir, s'en aller, filer, déguerpir, décamper, décoller, se retirer
Améliorer, perfectionner, bonifier, embellir, enrichir, renforcer, corriger, rectifier
Amener, apporter, emmener, transporter, convoyer, conduire, entraîner, diriger
Amuser, divertir, distraire, récréer, égayer, régaler, charmer, enchanter
Animer, encourager, stimuler, exciter, susciter, inciter, galvaniser, électriser
Annuler, résilier, révoquer, invalider, supprimer, rétracter, abolir, récuser
Apparaître, se montrer, surgir, se manifester, se révéler, se pointer, se dévoiler, se présenter
Appeler, nommer, désigner, qualifier, baptiser, surnommer, intituler, dénommer
Apprécier, évaluer, estimer, mesurer, juger, évaluer, échelonner, graduer
Apprendre, enseigner, instruire, éduquer, former, initier, entraîner, habituer
Approcher, s'approcher, se rapprocher, avancer, s'avancer, se diriger, se mettre en route, venir
Arroser, irriguer, abreuver, hydrater, mouiller, humecter, tremper, baigner
Arrêter, stopper, interrompre, suspendre, mettre fin, clôturer, entraver, bloquer
Arriver, parvenir, aboutir, atteindre, se rendre, se présenter, surgir, débarquer
Aspirer, inhaler, inspirer, boire, boire à la santé de, siroter, ingurgiter, engloutir
Assister, être présent, se trouver, participer, être là, être témoin, être spectateur, être aux premières loges
Attaquer, agresser, assaillir, agresser, harceler, déclencher, provoquer, engager
Attirer, séduire, charmer, plaire, captiver, enchanter, fasciner, envoûter
Augmenter, croître, accroître, élargir, intensifier, amplifier, développer, renforcer
Avoir, posséder, détenir, disposer de, bénéficier de, être pourvu de, jouir de, occuper
Balayer, nettoyer, astiquer, briquer, dépoussiérer, effacer, ôter, éliminer
Basculer, pencher, incliner, renverser, culbuter, chavirer, tomber, sombrer
Battre, frapper, cogner, marteler, pulvériser, briser, écraser, démolir
Beau, charmant, élégant, gracieux, raffiné, séduisant, splendide, somptueux
Blesser, blesser, blesser, lésion, meurtrir, mutiler, endommager, altérer
Bousculer, pousser, précipiter, renverser, faire tomber, jeter, expulser, déloger
Bouger, se déplacer, se mouvoir, se remuer, se transporter, changer de position, changer de place, évoluer
Bouillir, mijoter, frémir, cuire, chauffer, réchauffer, se réchauffer, s'ébouillanter
Bouleverser, perturber, déstabiliser, ébranler, troubler, secouer, chambouler, renverser
Briller, étinceler, luire, rayonner, scintiller, reluire, chatoyer, briller de mille feux
Bruire, murmurer, chuchoter, babiller, jacasser, gazouiller, susurrer, bourdonner
Cacher, dissimuler, dissimuler, masquer, camoufler, voiler, enfouir, enterrer
Capter, recevoir, capter, attraper, saisir, intercepter, obtenir, saisir
Capturer, prendre, attraper, arrêter, emprisonner, capturer, capturer, maîtriser
Célébrer, célébrer, commémorer, fêter, honorer, louer, glorifier, magnifier
Chanter, chanter, crier, hurler, vocaliser, entonner, psalmodier, réciter
Chasser, poursuivre, traquer, chasser, expulser, bannir, éliminer, exterminer
Choisir, sélectionner, opter, décider, prendre, élire, désigner, fixer
Chuchoter, murmurer, chuchoter, babiller, bavarder, parler à voix basse, dire en secret, chantonner
Citer, mentionner, évoquer, rappeler, référer, nommer, invoquer, alléguer
Claquer, frapper, cogner, heurter, battre, marteler, claquer, claquement
Classer, trier, ranger, ordonner, catégoriser, classifier, répertorier, hiérarchiser
Cligner, fermer, cligner des yeux, cligner, cligner, cligner, plisser, regarder fixement
Coiffer, couvrir, revêtir, habiller, coiffer, parer, garnir, draper
Collaborer, coopérer, aider, soutenir, travailler ensemble, participer, contribuer, assister
Collectionner, accumuler, amasser, rassembler, réunir, conserver, stocker, empiler
Coller, adhérer, fixer, coller, lier, joindre, assembler, unir
Colorer, teindre, colorer, peindre, enluminer, nuancer, rehausser, embellir
Combattre, lutter, résister, s'opposer, se défendre, se battre, affronter, contrer
Commander, ordonner, demander, exiger, requérir, prescrire, diriger, superviser
Commettre, commettre, faire, exécuter, réaliser, accomplir, effectuer, mettre en œuvre
Compléter, finir, achever, terminer, parachever, accomplir, clôturer, boucler
Comprendre, saisir, assimiler, comprendre, maîtriser, intégrer, pénétrer, saisir
Conclure, conclure, aboutir, terminer, finaliser, boucler, fermer, clôturer
Condamner, juger, condamner, punir, sanctionner, réprimer, blâmer, reprocher
Confier, confier, remettre, confier, remettre, remettre, déléguer, transmettre
Connaître, savoir, être au courant, être informé, comprendre, percevoir, saisir, connaître parfaitement
Conquérir, conquérir, gagner, obtenir, s'emparer de, prendre, arracher, ravir
Consacrer, dédier, consacrer, vouer, affecter, allouer, assigner, attribuer
Conserver, garder, maintenir, préserver, protéger, sauvegarder, stocker, accumuler
Considérer, considérer, examiner, évaluer, juger, apprécier, estimer, peser
Consommer, consommer, utiliser, dépenser, épuiser, épuiser, épuiser
Construire, bâtir, ériger, construire, édifier, assembler, fabriquer, monter
Contempler, regarder, observer, examiner, scruter, contempler, admirer, contempler
Contenir, contenir, inclure, enfermer, renfermer, receler, renfermer, englober
Continuer, poursuivre, persévérer, maintenir, tenir, suivre, avancer, prolonger
Contrôler, vérifier, surveiller, inspecter, réguler, contrôler, gérer, superviser
Convaincre, persuader, convaincre, persuader, influencer, inciter, amener, démontrer
Coûter, coûter, valoir, facturer, tarifer, payer, taxer, chiffrer
Couper, trancher, découper, sectionner, scinder, tailler, séparer, diviser
Courir, courir, galoper, sprinter, trotter, marcher, se déplacer rapidement, cavaler
Couvrir, couvrir, recouvrir, recouvrir, masquer, cacher, voiler, dissimuler
Craindre, craindre, redouter, appréhender, redouter, trembler, avoir peur, s'inquiéter
Craquer, casser, se briser, se fissurer, se déchirer, se rompre, se fendre, s'effondrer
Créer, créer, inventer, innover, concevoir, imaginer, produire, réaliser
Critiquer, critiquer, évaluer, juger, censurer, blâmer, reprocher, désapprouver
Cuisiner, cuisiner, préparer, mijoter, cuire, rôtir, griller, bouillir
Cultiver, cultiver, faire pousser, planter, semer, labourer, récolter, cultiver
Décider, décider, choisir, opter, trancher, déterminer, statuer, conclure
Découvrir, découvrir, trouver, dénicher, exhumer, dévoiler, révéler, mettre au jour
Décrire, décrire, raconter, narrer, dépeindre, représenter, définir, expliquer
Décrire, décrire, raconter, narrer, dépeindre, représenter, définir, expliquer
Dédier, consacrer, vouer, affecter, allouer, assigner, attribuer, dévouer
Défendre, protéger, défendre, sauvegarder, préserver, soutenir, préserver, garder
Définir, définir, déterminer, caractériser, spécifier, expliciter, préciser, fixer
Déguster, goûter, savourer, déguster, délecter, apprécier, humer, sentir
Démolir, démolir, détruire, abattre, démanteler, démolir, renverser, démolir
Démontrer, démontrer, prouver, justifier, établir, convaincre, attester, argumenter
Déplacer, déplacer, bouger, déloger, transporter, transférer, déménager, déplacer
Dépenser, dépenser, dépenser, dépenser, dépenser, gaspiller, dilapider, investir
Détester, détester, haïr, mépriser, abhorrer, exécrer, répugner, détester
Détruire, détruire, démolir, ruiner, anéantir, dévaster, ravager, détruire
Développer, développer, agrandir, augmenter, croître, étendre, développer, amplifier
Devenir, devenir, se transformer, évoluer, se métamorphoser, changer, passer, se convertir
Deviner, deviner, supposer, conjecturer, présumer, estimer, pressentir, deviner
Dîner, dîner, manger, souper, goûter, se restaurer, festoyer, savourer
Dire, dire, déclarer, affirmer, prononcer, exprimer, raconter, annoncer
Discuter, discuter, débattre, argumenter, échanger, négocier, polémiquer, disputer
Divertir, divertir, amuser, distraire, égayer, récréer, divertir, enjouer
Donner, donner, offrir, attribuer, octroyer, fournir, distribuer, céder
Dormir, dormir, somnoler, piquer un somme, faire la sieste, se reposer, roupiller, sommeiller
Doubler, doubler, augmenter, accroître, renforcer, intensifier, amplifier, consolider
Douter, douter, hésiter, incertain, indécis, dubitatif, sceptique, suspicieux
Draguer, draguer, séduire, flirter, courtiser, charmer, racoler, dragueur
Échanger, échanger, troquer, permuter, transiger, commuer, remplacer, changer
Écouter, écouter, entendre, percevoir, saisir, prêter l'oreille, être attentif, capter
